level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store
362,356,Essence,Long-Lasting Eye Pencil,eyeliner,2.49,4.4,This Long-Lasting Eye Pencil by Essence allows a precise application and lasts for hours and hours. The super smooth texture makes it easy to apply for fantastic effects!,"Cyclopentasiloxane, Synthetic Beeswax, Mica, Cera Microcristallina (Microcrystalline Wax), Trimethylsiloxysilicate, Vp/Hexadecene Copolymer, Myristyl Lactate, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Myristyl Alcohol, Tocopherol, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Glyceryl Oleate, Magnesium Silicate, Citric Acid, Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide).",https://www.ulta.com/long-lasting-eye-pencil?productId=xlsImpprod1910073,Ulta
361,355,Essence,Extreme Lasting Eye Pencil,eyeliner,2.99,4.5,"Lasts, lasts, lasts! The Extreme Lasting Eye Pencil is waterproof and will stay with you for the whole day and night. Trendy colors to suit every look! The velvety texture has a high color pay-off and glides smooth and easily.","Blacklove: Isododecane, Trimethylsiloxysilicate, Dimethicone, Synthetic Wax, Polyethylene, Polybutene, Silica, Caprylic / Capric Triglyceride, Polyglyceryl-4 Diisostearate / Polyhydroxystearate / Sebacate, Stearalkonium Hectorite, Propylene Carbonate, CI 77499 (Iron Oxides), CI 77510 (Ferric Ammonium Ferrocyanide).",https://www.ulta.com/extreme-lasting-eye-pencil?productId=xlsImpprod16501085,Ulta
373,367,L.A. Girl,Gel Glide Eyeliner,eyeliner,3.99,4.2,Makeup wearers no longer have to choose between the ease of application in an eye pencil and the smooth feel of liquid eyeliner. The L.A. Girl Gel Glide Eyeliner has the soft and gliding feel of liquid that comes in a pencil and can be sharpened.,"Very Black: Isododecane, Synthetic Wax, Hydrogenated Polydicyclopentadiene, PEG / PPG-18 / 18 Dimethicone, Polybutene, Glyceryl Tribehenate / Isostearate / Eicosandioate, Nylon-12, Polyethylene, Perfluorononyl Dimethicone, Polyglyceryl-4 Diisostearate / Polyhydroxystearate / Sebacate, Synthetic Beeswax, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Copernicia Cerifera (Carnauba) Wax. May Contain: Mica (CI 77019), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Ferric Ammonium Ferrocyanide (CI 77510), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Blue 1 Lake (CI 42090), Chromium Hydroxide Green (CI 77289).",https://www.ulta.com/gel-glide-eyeliner?productId=xlsImpprod15711011,Ulta
343,336,NYX Professional Makeup,Slim Eye Pencil,eyeliner,4.5,4.0,"Classic, best-selling NYX Professional Makeup eye pencil:  Applies smoothly and is easy to blend Does not tug, pull, smear or clump Contains Coconut Oils to hydrate and condition Is available in an astounding number of eye-popping shades ","Black: Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Caprylic / Capric Triglyceride, Ricinus Communis (Castor) Seed Oil, Talc, Hydrogenated Coconut Oil, Beeswax / Cera Alba / Cire d'abeille, Copernicia Cerifera (Carnauba) Wax / Copernicia Cerifera Cera / Cire de Carnauba, Euphorbia Cerifera (Candelilla) Wax / Euphorbia Cerifera Cera / Cire de Candelilla, Silica, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain: Iron Oxides (CI 77491, 77492, 77499), Titanium Dioxide (CI 77891), Manganese Violet (CI 77742), Ferric Ammonium Ferrocyanide (CI 77510), Ultramarines (CI 77007), Yellow 5 Lake (CI 19140), Blue 1 Lake (CI 42090).",https://www.ulta.com/slim-eye-pencil?productId=xlsImpprod2150076,Ulta
355,350,L.A. Girl,Ultimate Eye Intense Wear Auto Eye Liner,eyeliner,4.99,4.4,L.A. Girl's Ultimate Eye Intense Wear Auto Eye Liner has a smooth gel-like formula that lines and defines eyes with intense color payoff! Precise yet soft formula is easy to blend and lasts all day without smudging or smearing. Gel grip allows comfort and ease of application in a quick twist. Formula is dermatologist and ophthalmologist tested and free of preservatives.,"Trimethylsiloxysilicate, Synthetic Wax, Hydrogenated Polyisobutene, Hydrogenated Poly (C6-14 Olefin), Hydrogenated Polydecene, Polybutene, Silica Silylate, Rhus Succedanea Fruit Wax, Ethylene/Propylene Copolymer, Copernicia Cerifera (Carnauba) Wax, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate. May Contain/ Peut Contenir : Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Black 2 (Ci 77266), Mica (Ci 77019), Ultramarines (Ci 77007), Ferric Ferrocyanide (Ci 77510), Titanium Dioxide (Ci 77891), Carmine (Ci 75470).",https://www.ulta.com/ultimate-eye-intense-wear-auto-eye-liner?productId=xlsImpprod17631431,Ulta
309,304,NYX Professional Makeup,Retractable Eyeliner,eyeliner,5.5,4.3,"Twist and shout! If you're on the hunt for the best pen eyeliners, look no further. NYX Professional Makeup Retractable Eyeliner combines intense pigmentation with ultimate staying power. Looking to make your eye look really pop? That's where this collection of colored eyeliners comes in. From white eyeliners and blue eyeliners that enhance and brighten eyes, to classic brown and black eyeliners that finish off your eye look, NYX Professional Makeup offers a variety of both bright and natural looking shades. Create a classic winged eye look or play with lining your lower lash line - the possibilities are endless. Renowned for its extreme lasting power, this creamy liner delivers intense pigmentation and precise application in an easy twist-up tube that never needs sharpening. The hydrating formula glides on effortlessly and lasts all day. Through heat, humidity and whatever the day has to offer, this smudge-proof eyeliner won't let you down.All NYX Professional Makeup products are proudly cruelty-free and PETA certified.Key Benefits:Wide variety of colored eyeliner shades Smudge proof, hydrating formula glides on effortlessly and lasts all dayFine point tip never needs sharpeningCreamy texture delivers intense pigmentation while it moisturizesFormula is renowned for its lasting powerCruelty-free","White: Cyclopentasiloxane, Synthetic Beeswax, Microcrystalline Wax / Cera Microcristallina / Cire Microcristalline, Trimethylsiloxysilicate, VP / Hexadecene Copolymer, Myristyl Lactate, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Myristyl Alcohol, Silica, Tocopherol, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Magnesium Silicate, Glyceryl Oleate, Citric Acid, Tin Oxide. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Manganese Violet (CI 77742), Ultramarines (CI 77007), Carmine (CI 75470), Ferric Ferrocyanide (CI 77510), Ferric Ammonium Ferrocyanide (CI 77510), Copper Powder (CI 77400), Bronze Powder (CI 77400).",https://www.ulta.com/retractable-eyeliner?productId=xlsImpprod4141599,Ulta
1178,1174,SEPHORA COLLECTION,Eye Pencil to go,eyeliner,6.0,4.5,"What it is: A long-lasting eye pencil, now available in a mini format at a mini price. Ingredient Callouts: This product is cruelty-free.What Else You Need to Know: This eye pencil ensures precise and gentle application, making it ideal for both lid and waterline application.Ingredient Note: 
All Sephora Collection products comply with the most rigorous international laws on product safetygoing beyond satisfying European and US Cosmetics regulations. They also satisfy the strictest internal requirements of development, quality, traceability, and safety, and lead by example with a Restricted Substance List that excludes more than 1,400 substances.","CI 77499 (Iron Oxides), Mica, Caprylic/Capric Triglyceride, Stearyl Dimethicone, Hydrogenated Palm Glycerides, Polyglyceryl-3 Methylglucose Distearate, Cera Microcristallina (Microcrystalline Wax), Octadecene, Synthetic Wax, Kaolin, Polyethylene, Tocopherol, Talc, Helianthus Annuus (Sunflower) Seed Oil, Ascorbyl Palmitate.",https://sephora.com/product/eye-pencil-to-go-P443321?icid2=products%20grid:p443321,Sephora
367,361,CoverGirl,Perfect Point Plus Eyeliner,eyeliner,6.99,4.2,"The pencil gives you control and versatility. Want a precise line? It glides on easily. Want to soften a bit? There's a soft smudger tip. Best of all? No sharpening necessary, it's got a specially designed self-sharpener inside. So you always get the point-perfectly. Specially designed self-sharpener. Soft Smudger tip for expert blending. Glides on easily. Opthtamologically tested.","PPG-2 Myristyl Ether Propionate, Ceresin, Beeswax, Ethylene/VA Copolymer, CoperniciaCerifera (Carnauba) Wax, Ricinus Communis (Castor) Seed Oil, Cetyl Alcohol, AscorbylPalmitate, Tocopherol, Ascorbic Acid, PEG-8, Silica Silylate, Propylparaben, Butylparaben,Citric Acid, Methylparaben, Iron OxidesMay Contain: Titanium Dioxide, Manganese Violet, Ultramarines, Mica, Ferric Ferrocyanide,Chromium Oxide Greens, Chromium Hydroxide Green",https://www.ulta.com/perfect-point-plus-eyeliner?productId=11077,Ulta
340,333,NYX Professional Makeup,Vivid Brights Eyeliner,eyeliner,7.0,4.1,"Line your lids with vibrant color with NYX Professional Makeup's Vivid Brights Eye Liner. Available in a variety of incredible shades, these pro-level liners deliver instant and intense color payoff. Each versatile shade features an easy-to-use brush applicator to make precision lining a breeze!","Water / Aqua / Eau, Acrylates / Octylacrylamide Copolymer, Propylene Glycol, Magnesium Aluminum Silicate, Acetyl Tributyl Citrate, Aminomethyl Propanol, Xanthan Gum, Triethyl Citrate, Triethylhexyl Trimellitate, Ethyl Lactate, Disodium EDTA, Ethylhexylglycerin, Phenoxyethanol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Carmine (CI 75470), Chromium Oxide Greens (CI 77288), Ultramarines (CI 77007).",https://www.ulta.com/vivid-brights-eyeliner?productId=xlsImpprod13461009,Ulta
365,359,NYX Professional Makeup,Vinyl Liquid Liner,eyeliner,7.0,4.4,"Rock and roll with NYX Professional Makeup pure shine Vinyl Liquid Liner! The extra fine, flexible brush ensures a flawlessly even line with every swipe.","Water / Aqua / Eau, Styrene / Acrylates Copolymer, Butylene Glycol, Glycerin, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Sodium Hyaluronate, Xanthan Gum, Ethylhexylglycerin, Phenoxyethanol. May Contain: Black 2 (CI 77266).",https://www.ulta.com/vinyl-liquid-liner?productId=xlsImpprod12011211,Ulta
