level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store
259,253,ColourPop,Super Shock Shadow,eyeshadow,6.0,4.4,"Only at ULTA!Super Shock Shadow, ColourPop's revolutionary crème-powder eyeshadow, famous for its unique bouncy texture, delivers bold colour & fine glitter in one swipe without creasing, fading or fallout.Benefits:VeganCruelty freeFind ULTA Beauty stores that carry ColourPop.","Cyclopentasiloxane, Aluminum Calcium Sodium Silicate, Dimethicone, Calcium Sodium Borosilicate, Synthetic Fluorphlogopite, Trimethylsiloxysilicate, Calcium Aluminum Borosilicate, Isododecane, Boron Nitride, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Silica, Cyclohexasiloxane, Dimethicone/Vinyltrimethylsiloxysilicate Crosspolymer, Phenoxyethanol, Alumina, Disteardimonium Hectorite, Glycine Soja (Soybean) Oil, Triethoxycaprylylsilane, Mangifera Indica (Mango) Seed Butter, Tin Oxide, Propylene Carbonate, Ethylhexylglycerin, Cucumis Sativus (Cucumber) Fruit Extract. May Contain: Aluminum Powder (CI 77000), Bismuth Oxychloride (CI 77163), Blue 1 Lake (CI 42090), Bronze Powder (CI 77400), Carmine (CI 75470), Chromium Oxide Greens (CI 77288), Ferric Ammonium Ferrocyanide (CI 77510), Ferric Ferrocyanide (CI 77510), Iron Oxides (CI 77491, CI 77492, CI 77499), Manganese Violet (CI 77742), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985).",https://www.ulta.com/super-shock-shadow?productId=xlsImpprod17801019,Ulta
251,247,L.A. Girl,Nudes Beauty Brick Eyeshadow Palette,eyeshadow,7.99,4.1,A must-have eyeshadow palette filled with a dozen majorly pigmented shades! L.A. Girl's Nudes Beauty Brick Eyeshadow Palette gives you the best of all colors to allow you to create stunning looks!,"Mica, Mineral Oil (Paraffinum Liquidum), Magnesium Stearate, Aluminum Starch Octenylsuccinate, Talc, Polyisobutene, Ethylhexyl Palmitate, Petrolatum, Sorbitan Sesquioleate, Methylparaben, Propylparaben, BHT. May Contain: Iron Oxide (CI 77491), Iron Oxide (CI 77492), Iron Oxide (CI 77499), Titanium Dioxide (CI 77891), FD & C Blue 1 Aluminum Lake (CI 42090), Ferric Ammonium Ferrocyanide (CI 77510), Chromium Oxide Greens (CI 77288), FD & C Yellow 5 (CI 19140), Ultramarines (CI 77007), D & C Red 40, Aluminum Lake (CI 16035), Carmine (CI 75470), Manganese Violet (CI 77742).",https://www.ulta.com/nudes-beauty-brick-eyeshadow-palette?productId=xlsImpprod15711039,Ulta
230,227,ULTA,Eyeshadow Single,eyeshadow,8.5,4.1,"Ulta's Eyeshadow Singles have a super creamy, buttery texture with beautiful pigmentation and multiple finishes. Ulta's pressed powder eyeshadow formula is one-of-a-kind and comes packaged in an innovative component that allows you to remove the pan and insert into a customizable palette with ease!Benefits:Natural butters extracted from aloe and coconut oil allow the formula to 'melt' at skin temperature and adhere to lid preventing flaking or cakingNon-drying, rich, color payoff that nourishes the sensitive eye areaSmooth, creamy feel upon application with a long-lasting, cushiony after-feelParaben freeMineral oil freeGluten freeCreate your own Customizable Eyeshadow Palette. (Up to an $80 value!) CLICK HEREFollow these steps to customize your Palette:STEP 1: Make it yours. Choose from 36 shades of Ulta Eyeshadow. Add either 4 or 8 shades to your shopping bag.STEP 2: An Empty 4 Pan Palette or an Empty 8 Pan Palette will automatically add to cart.STEP 3: Enjoy your palette! Discount will be applied at checkout.Please note: You must add either 4 or 8 shades to your shopping bag. Each item will display separately with the original price when added to your bag. 4-Pan or 8-Pan Customizable Eyeshadow Palette will automatically add to cart. When everything is in your bag, the discount will display above your order total.","Talc, Octyldodecyl Stearoyl Stearate, Synthetic Fluorphlogopite, Boron Nitride, Calcium Sodium Borosilicate, Dimethicone, Pentaerythrityl Tetraethylhexanoate, Cetyl Dimethicone, Magnesium Myristate, Silica, Bis-Diglyceryl Polyacyladipate-2, Polypropylene, Methyl Methacrylate Crosspolymer, Magnesium Stearate, Calcium Aluminum Borosilicate, Propanediol, Polyglyceryl-2 Triisostearate, Aloe Barbadensis Leaf Extract, Cocos Nucifera (Coconut) Oil, PTFE, Nylon-12, Triethoxycaprylylsilane, Alumina, Sodium Dehydroacetate, Titanium / Titanium Dioxide, Methicone, Tin Oxide (CI 77861). May Contain: Carmine (CI 75470), Chromium Hydroxide Green (CI 77289), Chromium Oxide Greens (CI 77288), Ferric Ammonium Ferrocyanide (CI 77510), Ferric Ferrocyanide (CI 77510), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Manganese Violet (CI 77742), Mica (CI 77019), Red 40 Lake (CI 16035), Titanium Dioxide (CI 77891), Ultramarines (CI 77007), Yellow 5 Lake (CI 19140).",https://www.ulta.com/eyeshadow-single?productId=xlsImpprod15401159,Ulta
1010,1004,SEPHORA COLLECTION,Colorful Eyeshadow,eyeshadow,9.0,4.0,"What it is: A collection of over 80 eye shadows in four finishes: glitter, metallic, matte, and shimmer.Ingredient Callouts: This product is cruelty-free.What Else You Need to Know: For matte and shimmer finishes, shadows are best applied with finger or brush. For metallic finish, best application is with finger. For glitter finish, best application is with brush.","Mica, Polyethylene Terephthalate, Talc, Magnesium Myristate, Ci 77891 (Titanium Dioxide), Octyldodecyl Stearoyl Stearate, Polyglyceryl-3 Diisostearate, Isostearyl Neopentanoate, Polybutene, Calcium Sodium Borosilicate, Ci 77491 (Iron Oxides), Phenoxyethanol, Maltodextrin, Polyurethane-11, Ci 77007 (Ultramarines), Sorbic Acid, Silica, Ci 77492 (Iron Oxides), Bht, Ci 19140 (Yellow 5 Lake), Ci 77499 (Iron Oxides), Ci 77000 (Aluminum Powder), Tin Oxide, Camellia Sinensis Leaf Extract, Ci 77742 (Manganese Violet), Ci 42090 (Blue 1 Lake).",https://sephora.com/product/colorful-shadow-P430932?icid2=products%20grid:p430932,Sephora
270,264,Juvia's Place,The Nubian Mini Eyeshadow Palette,eyeshadow,10.0,4.5,Only at ULTA!Enjoy The Mini Version of Juvia's Place Nubian Eyeshadow Palette. Specially curated with the top 6 colors from the Nubian Palette.,"Talc, Mica, Magnesium Stearate, Kaolin, Synthetic Fluorphlogopite, Phenyl Trimethicone, Ethylhexyl Palmitate, Polymethyl Methacrylate, Dimethicone, Capryl Glycol, Silica, Tocopheryl Acetate, Ethylhexylglycerin, Phenoxyethanol. May Contain: Calcium Sodium Borosilicate, Zinc Oxide, Titanium Dioxide(CI 77891), Iron Oxide Black (CI 77499), Iron Oxide Yellow (CI 77492), Iron Oxide Red (CI 77491), Ultramarine Blue (CI 77007), Yellow 5 Lake (CI 19140), Red 40 Lake (CI 16035), Blue 1 Lake (CI 42090).",https://www.ulta.com/nubian-mini-eyeshadow-palette?productId=pimprod2005204,Ulta
235,231,Morphe,Nude Palette 9T Neutral Territory,eyeshadow,12.0,4.5,"Only at ULTA!The feeling's neutral with Morphe's Nude Palette 9T Neutral Territory. Mix & match these nude hues for a win no matter how you swipe. Shift into neutral with these beyond-blendable hues that always play nice. These knockout nudes can be mixed and matched - it's a win no matter how you swipe.Shades:Row 1: Bare Play (matte horchata), Make a Deal (shimmering amber), Straight Up (shimmering brown sugar)Row 2: Midi (matte nectarine), Pact (matte chocolate mousse), Promise (shimmering molasses)Row 3: Halfway (matte milk chocolate), Open Mind (matte hazelnut), Win-Win (matte smoky black)","Make A Deal, Straight Up, Promise: Mica, Talc, Silica, Ethylhexyl Palmitate, Isononyl Isononanoate, Magnesium Stearate, Phenyl Trimethicone, Tridecyl Trimellitate, Isopropyl Isostearate, Phenoxyethanol, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Alumina, Calcium Sodium Borosilicate, Triethoxycaprylylsilane, Tin Oxide. May Contain: Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).Bare Play, Midi, Pact, Halfway, Open Mind, Win-Win: Mica, Talc, Silica, Magnesium Stearate, Ethylhexyl Palmitate, Isononyl Isononanoate, Phenyl Trimethicone, Tridecyl Trimellitate, Phenoxyethanol, Isopropyl Isostearate, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Triethoxycaprylylsilane. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Yellow 5 Lake (CI 19140), Blue 1 Lake (CI 42090).",https://www.ulta.com/nude-palette-9t-neutral-territory?productId=pimprod2008427,Ulta
268,262,ULTA,Mineral Blush,eyeshadow,12.0,4.5,"Give your cheeks a healthful, rosy glow using Ulta's Mineral Blush, a luxurious powder that is luminous on cheeks and gives smooth and sheen coverage.Benefits:Enriched formula is infused with Vitamin E to nourish delicate facial skinLong-lasting day to night coverage without creasing, smearing or smudgingParaben FreeGluten FreeOil Free","Mica, Kaolin, Zinc Stearate, Ethylhexyl Palmitate, Phenoxyethanol, Tocopherol, Sodium Dehydroacetate, Abscorbyl Palmitate, Tin Oxide. May Contain: Iron Oxides (CI 77491, CI 77499), Titanium Dioxide (CI 77891), Red 7 Lake (CI 15850).",https://www.ulta.com/mineral-blush?productId=xlsImpprod12831179,Ulta
279,271,Morphe,9B Bronzed Babe Eyeshadow Palette,eyeshadow,12.0,4.4,"Only at ULTA!This on-the-glow mirrored palette proves that bronze definitely have more fun. Morphe's 9B Bronzed Babe Eyeshadow Palette features nine mega-creamy, super-shimmering shades to create endless around-the-clock looks, it's like you're on vacay all day, every day. Meet your new gilt-y pleasures.Shades Include:Row 1: Sunnies, Hang Ten, Road TripRow 2: Beach Please, Vacay, Now BoardingRow 3: Volcano, Midnight Dip, Faux RealBenefits:Beyond-creamy colorHighly pigmentedSuper blendable","Mica, Synthetic Fluorphlogopite, Talc, Dimethicone, Bis-Diglyceryl Polyacyladipate-2, Tridecyl Trimellitate, Phenyl Trimethicone, Magnesium Stearate, Ethylhexyl Palmitate, Octyldodecyl Stearoyl Stearate, Polyethylene, Dimethicone Crosspolymer, Kaolin, Nylon-12, Polymethylsilsesquioxane, Silica, Phenoxyethanol, Ethylhexylglycerin, Caprylyl Glycol. May Contain: Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Yellow 5 Aluminum Lake (Ci 19140), Carmine (Ci 75470), Black 2 (Ci 77266), Blue 1 Aluminum Lake (Ci 42090), Red 40 Aluminum Lake (Ci 16035), Tin Oxide (Ci 77861), Ultramarines (Ci 77007), Alumina.",https://www.ulta.com/9b-bronzed-babe-eyeshadow-palette?productId=xlsImpprod17681093,Ulta
281,273,Buxom,Customizable Eyeshadow Bar Single Refills,eyeshadow,12.0,4.5,"Featuring primer-infused technology to help keep color locked in place, Customizable Eyeshadow Bar Single Refills from Buxom has a powerfully pigmented formula that glides onto lids - delivering intense payoff with an ultra-luxe, powder-to-silk feel. And with finishes ranging from plush matte to shimmering metallic to sparkle and duo-chrome, each shade contains mesmerizing possibilities.Rock a single shade in the Empty Single Eye Shadow Compact.Unleash your inner artist with a spectrum of eye shadow shades to endlessly mix & match. Choose to customize a refillable six-shade palette with Empty Customizable Eye Shadow Palette. Create Your Own Customizable Eyeshadow Palette for $40. (An $85 value!)","24kt Stilettos: Talc, Caprylic/Capric Triglyceride, Stearyl Dimethicone, Silica, Zinc Stearate, PTFE, Ethylene/Acrylic Acid Copolymer, Poloxamer 338, Tin Oxide, Sodium Dehydroacetate, Sorbic Acid, Phenoxyethanol. May Contain: Mica, Carmine (CI 75470), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Blue 1 Lake (CI 42090), Yellow 5 Lake (CI 19140), Aluminum Powder (CI 77000), Bronze Powder (CI 77400), Bismuth Oxychloride (CI 77163), Chromium Hydroxide Green (CI 77289), Chromium Oxide Greens (CI 77288), Ferric Ammonium Ferrocyanide (CI 77510), Ferric Ferrocyanide (CI 77510), Manganese Violet (CI 77742), Ultramarines (CI 77007).",https://www.ulta.com/customizable-eyeshadow-bar-single-refills?productId=xlsImpprod13561011,Ulta
1048,1042,Anastasia Beverly Hills,Eye Shadow Singles,eyeshadow,12.0,4.5,"What it is: A finely-milled, full pigment, eyeshadow formula in five finishes: glitter, matte, metallic, satin, and shimmer.  What it does:  These Eye Shadow Singles feature five deluxe finishes in full-pigment, buildable formulas. Each eyeshadow offers customizable bundling options of four and five shades. Create a custom palette with the Empty 4 Well Refillable Eye Palette that holds four pans of your favorite colors and textures. What else you need to know: With dozens of colors and textures to choose from, the combinations are truly endless.Anastasia SoareJust wet an eyeshadow brush for an intense cream shadow finish. All Eyeshadows come in individually packaged refill sleeves.  ","Boron Nitride, Dimethicone, Nylon-12, Zinc Stearate, Octyldodecyl Stearoyl Stearate, Polymethylsilsesquioxane, Zea Mays (Corn) Starch, Zinc Myristate, Glycerin, Silica, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Aluminum Calcium Sodium Silicate, Beeswax/Cera Alba/Cire D'abeille, Caprylyl Glycol, Cyclopentasiloxane, Hydrogenated Lecithin, Isopentyldiol, Lauroyl Lysine, Mineral Oil, Phenoxyethanol, Polysilicone-11, Sodium Polyacrylate, Synthetic Fluorphlogopite, Theobroma Cacao (Cocoa) Seed Butter, Tin Oxide, Tocopherol, May Contain: (+/-) Mica, Carmine (Ci 75470), Iron Oxide (Ci 77491), Ferric Ferrocyanide (Ci 77510), Titanium Dioxide (Ci 77891).
*Contains Carmine as a color additive ",https://sephora.com/product/eye-shadow-singles-P404832?icid2=products%20grid:p404832,Sephora
