level_0,index,brand,product,product_type,price,rating,details,ingredients,url,store
42,42,Laura Mercier,Blush Colour Infusion,blush,30.0,5.0,"Blush Colour Infusion from Laura Mercier is a sheer, buildable and silky-smooth cheek colour that blends seamlessly with skin for the most natural, fresh look. Pure colour pigments feel weightless and apply evenly to skin for a healthy-looking flush of colour that lasts 10 hours. Infused with micro-fine powders, this next-generation formula can build from a diffused, sheer hint of color to a bold colour statement. Designed to layer as flawlessly with liquid or powder makeup as it does on bare skin. Shades range from soft neutrals to vivid pops of color, with finishes ranging from matte to a subtle sheen with hidden pearl, to suit a variety of skin tones and skin types.Matte Shades:Rosé (matte rose pink)Chai (matte dirty rose)Ginger (matte pale nude)Strawberry (matte bright pink)Kir Royale (matte berry wine)Sheen Shades:Sangria (sheen plum berry)Pomegranate (sheen fuschia pink)Fresco (sheen brown nude)Peach (sheen light coral)Grapefruit (sheen red coral)After 4 weeks of independent consumer testing, 31 women agreed that Blush Colour Infusion:Provides natural-looking color (100%)Feels weightless (100%)Applies evenly (100%)Is blendable (100%)Is sheer to buildable, always allowing skin to show through (94%)Skin looks perfect, smooth and fresh (94%)Feels comfortable all day (100%)Does not feel dry on my skin (100%)","Talc, Dimethicone, Nylon-12, Zinc Stearate, Silica, Magnesium Myristate, Cetyl Dimethicone, Sodium Hyaluronate, Lauroyl Lysine, Hexylene Glycol, Phenoxyethanol, Caprylyl Glycol. May Contain: Mica, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Iron Oxides (CI 77499), Red 7 (CI 15850).",https://www.ulta.com/blush-colour-infusion?productId=pimprod2012418,Ulta
50,49,Urban Decay,Stay Naked Threesome,blush,36.0,5.0,"Urban Decay Stay Naked Threesome is a vegan longwear trio of powder bronzer, highlighter, and blush that lasts up to 14 hours with a real-skin matte finish.Stay Naked Threesome's super-smooth powder is incredibly blendable and buildable (it almost feels like a cream), with a natural satin finish that never goes on streaky or cakey. Use the bronzer, highlighter, and blush solo or combined for allover glow and color. Infused with moringa seed oil, Threesome's formula contains antioxidant and anti-pollution properties that help balance and protect skin.","Blush: Talc, Silica, Boron Nitride, Zinc Stearate, Nylon-12, Lauroyl Lysine, Dimethicone, Methicone, Octyldodecyl Stearoyl Stearate, Ethylhexyl Palmitate, Hydrogenated Coco-Glycerides, Phenoxyethanol, Potassium Sorbate, Moringa Oleifera Seed Oil. May contain: CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77891 / Titanium Dioxide, CI 73360 / Red 30 Lake, CI 15850 / Red 6.Bronzer, Highlighter: Talc, Zinc Stearate, Dimethicone, Glyceryl Caprylate, Octyldodecyl Stearoyl Stearate, Hydrogenated Coco-Glycerides, Nylon-12, Boron Nitride, Lauroyl Lysine, Silica, Magnesium Carbonate, Potassium Sorbate, Moringa Oleifera Seed Oil, Tin Oxide. May Containg: Mica, CI 77491, CI 77492, CI 77499 / Iron Oxides, CI 77891 / Titanium Dioxide.",https://www.ulta.com/stay-naked-threesome?productId=pimprod2012765,Ulta
69,66,Petite 'n Pretty,Online Only 9021-Glow! Eye & Cheek Palette,blush,34.0,5.0,"Petite 'n Pretty's 9021-Glow! Eye & Cheek Palette is a pediatrician and dermatologist approved collection of eyeshadows in finishes ranging from amped-up sparkle to dialed-down satins, plus blush and highlighter, to give eyes and cheeks a sheer wash of color. With its custom-size, dual-ended brush, you can create any look you dream up.The sun is always out in Beverly Hills, 9021-Glow! Let your creativity shine with talc-free shades from sandy neutrals to pretty pinks that pop, shimmer or glow. Multidimensional pearls give this pretty palette mega-wow sparkle and light-catching luminosity, while finely milled mica provides smoother, more even and sheer payoff. A custom oil blend ensures every shade feels silky and lets those pearls really shine through. With finishes ranging from amped-up sparkle to dialed-down satin and a custom, dual-ended brush sized to give young creatives more control and precision, you can create any look you dream up.Shades:Flashing Lights (iridescent pink)Poolside Bling (pearly lavender)Pop!-arrazi (pearl-pink bronze)Shimmer Sand (soft, pale pink)Bungalow Bronze (champagne bronze sparkle)Sunset Sparkle (sun-kissed rose)Pink Palms Blush (cool matte pink)Beamer Highlighter (soft pink sparkle)What are the highlights:Includes six age-appropriate eyeshadows, plus blush and highlighterComes with a custom-sized artistry brush with synthetic bristlesEyeshadows are ophthalmologist approvedDermatologist approvedPediatrician approvedWhat else you should know:Cruelty-freeNut-freeGluten-freeTalc-freeParaben-freePhthalate-freePetite 'n Pretty makeup for kids, tweens and teens is inspiring the next generations to express their creativity with high-quality, age-appropriate and pediatrician approved beauty and pro-artistry tools made and sized just for them.","Flashing Lights: Ethylhexyl Palmitate, Nylon-12, Calcium Sodium Borosilicate, Dimethicone/Vinyl Dimethicone Crosspolymer, Zinc Stearate, Silica, Tin Oxide, Mica (CI 77019), Phenoxyethanol. Titanium Dioxide (CI 77891), Carmine (CI 75470). *Contains Carmine as a color additive.Poolside Bling: Calcium Sodium Borosilicate, Calcium Aluminum Borosilicate, Ethylhexyl Palmitate, Silica, Zinc Stearate, Mica (CI 77019), Tin Oxide, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Dimethicone. Titanium Dioxide (CI 77891), Carmine (CI 75470). *Contains Carmine as a color additive.Pop!arazzi (vegan): Ethylhexyl Palmitate, Nylon-12, Calcium Titanium Borosilicate, Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Calcium Sodium Silicate, Calcium Sodium Borosilicate, Zinc Stearate, Silica, Synthetic Fluorphlogopite, Mica (CI 77019), Tin Oxide, Phenoxyethanol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).Shimmer Sand (vegan): Mica (CI 77019), Synthetic Fluorphlogopite, Ethylhexyl Palmitate, Zinc Stearate, Silica, Tin Oxide, Dimethicone, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499).Bungalow Bronze (vegan): Calcium Sodium Borosilicate, Ethylhexyl Palmitate, Nylon-12, Dimethicone/Vinyl Dimethicone Crosspolymer, Zinc Stearate, Mica (CI 77019), Tin Oxide, Silica, Phenoxyethanol. Iron Oxides (CI 77491), Titanium Dioxide (CI 77891).Sunset Sparkle (vegan): Mica (CI 77019), Zinc Stearate, Ethylhexyl Palmitate, Silica, Phenoxyethanol, Tin Oxide, Dimethicone, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499), Bismuth Oxychloride (CI 77163).Pink Palms (vegan): Mica (CI 77019), Ethylhexyl Palmitate, Zinc Stearate, Silica, Dimethicone, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Red 28 Lake (CI 45410).Beamer (vegan): Ethylhexyl Palmitate, Nylon-12, Calcium Sodium Borosilicate Dimethicone/Vinyl Dimethicone Crosspolymer, Aluminum Calcium Sodium Silicate, Zinc Stearate, Alumina, Silica, Mica (CI 77019), Tin Oxide, Phenoxyethanol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).",https://www.ulta.com/9021-glow-eye-cheek-palette?productId=pimprod2009538,Ulta
75,72,Tarte,Travel Size Amazonian Clay 12 Hour Blush,blush,15.0,5.0,"Tarte's Amazonian Clay 12 Hour Blush universally benefits all skin types for a fade-free, flawless finish in shades ranging from soft to vivid and matte to shimmer to suit a wide variety of skin tones.Powered by:Amazonian Clay: Minimizes oil in and around pores to balance skin and keep product in place while also hydrating the skin naturally to restore moisture, reducing the appearance of dry, flaky skin.Final Claims:Dermatologist testedCruelty free","Seduce: Mica, Talc, Polyethylene, Zinc Stearate, Tricaprylin, Caprylic/Capric Triglyceride, Beeswax/Cera Alba/Cire D'abeille, PEG-150 Distearate, Lanolin, Laureth-4, Tocopherol, Ascorbyl Palmitate, Kaolin, Polysorbate 20, Chlorphenesin, Tetrasodium EDTA, Potassium Sorbate. May Contain: Ultramarines (CI 77007), Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 (CI 15850), Red 7 Lake (CI 15850).",https://www.ulta.com/travel-size-amazonian-clay-12-hour-blush?productId=pimprod2010230,Ulta
82,78,Juvia's Place,The Saharan Vol. I Blush Palette,blush,18.0,5.0,"Only at ULTA!The Juvia's Place Saharan Vol. I Blush Palette is the ultimate all in one palette which embodies a meticulously formulated array of multi-functional colors. A perfect blend to captivate facial structures with a flush of richly pigmented colors.Shades:Row 1: Zara (shimmer gold plated), Neo (matte reddish brown), Lila (metallic gold)Row 2: Zane (matte dark fuschia), Toby (bright matte apricot), Aby (matte dark chocolate)","Talc, Mica, Magnesium Stearate, Polymethyl Methacrylate, Dimethicone, Capryl Glycol, Hydrogenated Polyisobutene, Phenoxyethanol, Ethylhexylgycerin. May Contain: Iron Oxides, Ultramarines, FD&C Yellow No.6, D&C Red #21, D&C Red 27 AL Lake, FD&C Yellow AL Lake, D&C Red # 33",https://www.ulta.com/saharan-vol-i-blush-palette?productId=xlsImpprod18771133,Ulta
86,81,Petite 'n Pretty,Online Only 9021-Bungalow! Eye & Cheek Palette,blush,34.0,5.0,"Petite 'n Pretty's 9021-Bungalow! Eye & Cheek Palette is a bronzy collection of buildable eyeshadows ranging from understated mattes to saturated shimmers, plus a peachy blush and sparkly highlighter to create the prettiest getaway glow for forever summer looks. This palette is pediatrician and dermatologist approved.Beachside or poolside, catch waves of bliss with the 9021-Bungalow Eye & Cheek Palette from Petite 'n Pretty! With colors ranging from understated sandy mattes to saturated shimmers as pretty as a tropicali sunrise, this teen makeup palette is your go-to for going coastal or lounging in your own private bungalow. Multidimensional pearls give the richly pigmented colors mega-wow sparkle and light-catching luminosity, while finely milled mica provides smoother, more even payoff. A custom oil blend ensures every shade feels silky and lets those pearls really shine through. With this collection of buildable eyeshadows, peachy blush and sparkly highlighter - plus a custom, dual-ended artistry brush - you can create the prettiest getaway glow for forever summer looks. Soak it all up, cabana bae!Shades:Shore Front (light matte nude)Blissed Out Bronze (coppery bronze)Sunkissed Shimmer (light bright gold)Cabana Bae (metallic cranberry)Bahama Nirvana (matte chocolate)Cocoa-Nuts (warm matte brown)TropCali blush (matte peach)Poolside Posh highlighter (sparkling peach)What are the highlights:Includes six age-appropriate eyeshadows, blush and highlighterComes with a custom-sized artistry brush with synthetic bristlesEyeshadows are ophthalmologist approvedDermatologist approvedPediatrician approvedWhat else you should know:Cruelty-freeNut-freeGluten-freeTalc-freeParaben-freePhthalate-freeVeganPetite 'n Pretty makeup for kids, tweens and teens is inspiring the next generations to express their creativity with high-quality, age-appropriate and pediatrician approved beauty and pro-artistry tools made and sized just for them.","Shore Front and Bahama Nirvana (vegan): Mica (CI 77019), Zinc Stearate, Ethylhexyl Palmitate, Silica, Dimethicone, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Iron Oxides (CI 77491, CI 77492, CI 77499).Blissed Out Bronze (vegan): Mica (CI 77019), Ethylhexyl Palmitate, Zinc Stearate, Silica, Dimethicone, Phenoxyethanol, Caprylyl Glycol, Tin Oxide, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499).Cocoa-nuts (vegan): Mica (CI 77019), Zinc Stearate, Ethylhexyl Palmitate, Silica, Dimethicone, Phenoxyethanol, Talc, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Iron Oxides (CI 77491, CI 77492, CI 77499), Bismuth Oxychloride (CI 77163).Cabana Bae (vegan): Mica (CI 77019), Synthetic Fluorphlogopite, Ethylhexyl Palmitate, Zinc Stearate, Silica, Phenoxyethanol, Caprylyl Glycol, Dimethicone, Tin Oxide, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77499).Sunkissed Shimmer (vegan): Mica (CI 77019), Ethylhexyl Palmitate, Alumina, Calcium Titanium Borosilicate, Zinc Stearate, Silica, Tin Oxide, Phenoxyethanol, Dimethicone, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491).TropiCali (vegan): Mica (CI 77019), Ethylhexyl Palmitate, Zinc Stearate, Silica, Dimethicone, Phenoxyethanol, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Iron Oxides (CI 77491), Yellow 5 Lake (CI 19140), Red 30 Lake (CI 73360), Red 27 (CI 45410).Poolside Posh (vegan): Calcium Sodium Borosilicate, Ethylhexyl Palmitate, Silica, Zinc Stearate, Mica (CI 77019), Tin Oxide, Triethoxycaprylylsilane, Phenoxyethanol, Dimethicone, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol. Titanium Dioxide (CI 77891), Yellow 6 Lake (CI 15985), Red 27 (CI 45410).",https://www.ulta.com/9021-bungalow-eye-cheek-palette?productId=pimprod2009535,Ulta
896,889,Dior,BACKSTAGE Rosy Glow Blush,blush,37.0,5.0,"What it is: A secret weapon to create the appearance of naturally rosy cheeks for a fresh, glowy effect.What Else You Need to Know: Infused with color reviver technology, this innovative blush reacts to the skin's moisture level upon application to deliver a customized rosy effect. The result is a natural, instant healthy glow that lasts all day long.","Talc, Mica, Dimethicone, Methyl Methacrylate Crosspolymer, Zinc Stearate, Synthetic Fluorphlogopite, Pentylene Glycol, Lauroyl Lysine, Sodium Dehydroacetate, Caprylyl Glycol, Parfum (Fragrance), Citronellol , [+/- :Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6, Yellow 6 Lake), Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 45410 (Red 27, Red 27 Lake, Red 28 Lake), Ci 73360 (Red 30, Red 30 Lake), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide),  Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide)].",https://sephora.com/product/dior-rosy-glow-blush-P454762?icid2=products%20grid:p454762,Sephora
909,902,KVD Vegan Beauty,Everlasting Blush,blush,26.0,5.0,"What it is: A high-pigment, petal-soft blush that blends effortlessly into skin for an intense bloom of transfer-resistant color that lasts all day.Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: This blush contains silky, micro-milled powder that is highly pigmented yet velvety as a rose petal, allowing it to blend effortlessly into skin. A bouquet of six shades offers a range of depths for every complexion each in a rose compact. Everlasting Blush delivers extreme long wear and a beautiful, soft-matte finish.Clinical Results:In a consumer study on 32 volunteers over 24 hours:- 100% agreed it applied smoothly and seamlessly - 100% agreed it had a soft, velvety texture- 100% felt it was easy to apply.","Talc, Mica, Dimethiconol Stearate, Caprylic/Capric Triglyceride, Polymethyl Methacrylate, Aluminum Hydroxide, Dimethicone, Trimethylsiloxysilicate, Caprylyl Glycol, Phenoxyethanol, Magnesium Myristate, Hexylene Glycol, Barium Sulfate (Ci 77120), Ultramarines (Ci 77007), Red 7 Lake (Ci 15850), Yellow 5 Lake (Ci 19140).",https://sephora.com/product/kat-von-d-everlasting-blush-P454732?icid2=products%20grid:p454732,Sephora
918,911,Tower 28 Beauty,BeachPlease Tinted Lip + Cheek Balm,blush,20.0,5.0,"What it is: A multitasking tinted balm for ultra-glowing lips and cheeksminus the cakiness and harsh lines.Highlighted Ingredients: - Green Tea Extract: Calms skin and contains a natural antioxidant. - Aloe Vera Extracts: Hydrate and soothe skin.  Ingredient Callouts: This product is vegan, cruelty-free, and gluten-free.What Else You Need to Know: BeachPlease blush delivers buildable color in a luminous, second-skin finish. This silicone-free formula is made with skin-loving, plant-based ingredients like green tea extract and aloe vera extract to give skin support with every application.Clean at SephoraClean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.","-Green Tea Extract: Calms skin and contains a natural antioxidant. -Aloe Vera Extracts: Hydrate and soothe skin.  Hydrogenated Polyisobutene, Zea Mays (Corn) Starch, Ricinus Communis (Castor) Seed Oil, Polyhydroxystearic Acid, Helianthus Annuus (Sunflower) Seed Wax, Diisostearyl Malate, Triisostearyl Citrate, Microcrystalline Wax (Cera Microcristallina), Jojoba Esters, Butyrospermum Parkii (Shea) Butter, Orbignya Oleifera Seed Oil, Oryza Sativa (Rice) Bran Extract, Helianthus Annuus (Sunflower) Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Camellia Sinensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Aloe Barbadensis Leaf Extract, Carthamus Tinctorius (Safflower) Seed Oil, Acacia Decurrens Flower Wax, Persea Gratissima (Avocado) Oil, Rosa Canina Fruit Oil, Glycine Soja (Soybean) Oil, Tocopherol, Polyglycerin-3, Caprylyl Glycol, Ethylhexylglycerin. MAY CONTAIN: Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 30 Lake (CI 73360), Titanium Dioxide (CI 77891).Clean at Sephora products are formulated without:SulfatesSLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",https://sephora.com/product/beachplease-tinted-balm-blush-P449342?icid2=products%20grid:p449342,Sephora
942,932,Dior,Rouge Blush,blush,44.0,5.0,"What it is: An ultra-pigmented, long-wearing blush for intense cheek color.What Else You Need to Know: High-intensity Rouge Blush touches cheeks with sultry, long-lasting color, revealing an irresistibly radiant, healthy glow. This range of iconic shades was inspired by the legendary Rouge Dior lipstick. The shades are buildable to suit any desired effect, from soft to bold. ","Talc, Nylon-12, Synthetic Fluorphlogopite, Magnesium Myristate, Isostearyl Isostearate, Phenyl Trimethicone, Ethylhexyl Palmitate, Acrylates/Stearyl Acrylate/Dimethicone Methacrylate Copolymer, Dimethicone, Pentylene Glycol, Sodium Dehydroacetate, Caprylyl Glycol, Fragrance, Bht, Linalool, Limonene, Citronellol, Tocopherol. May Contain (+/-):  Ci 15850 (Red 6, Red 7, Red 7 Lake), Ci 15985 (Yellow 6, Yellow 6 Lake), Ci 19140 (Yellow 5, Yellow 5 Lake), Ci 42090 (Blue 1 Lake), Ci 45410 (Red 27, Red 27 Lake, Red 28 Lake), Ci 73360 (Red 30, Red 30 Lake), Ci 77007 (Ultramarines), Ci 77163 (Bismuth Oxychloride), Ci 77288 (Chromium Oxide Greens), Ci 77289 (Chromium Hydroxide Green), Ci 77491, Ci 77492, Ci 77499 (Iron Oxides), Ci 77510 (Ferric Ferrocyanide, Ferric Ammonium Ferrocyanide), Ci 77742 (Manganese Violet), Ci 77891 (Titanium Dioxide).*The ingredients in the composition of Parfums Christian Dior products are regularly updated. Before using a Parfums Christian Dior product, please read the ingredient list on its packaging to ensure that the ingredients are suitable for your personal use.",https://sephora.com/product/rouge-blush-P442793?icid2=products%20grid:p442793,Sephora
